HeLa mRNA decay rates			
Gene	Rate	Error	Level
Gene symbol	Degradation rate [1/min]	Sum-of-squared error for decay slope regression line	U133 expression level before Act D treatment (timepoint zero) [a.u.]
AAAS	-0.0025	0.18	705.1
AACS	-0.0019	0.08	1031.2
AADAT	0.0011	0.41	417
AAGAB	0.0004	0.12	921.2
AAK1	-0.0034	0.49	105.6
AAMP	-0.0028	0.49	1916.2
AARS	0.0009	0.13	5635.4
AARS2	0.0005	0.1	530
AARSD1	-0.0011	0.05	720.1
AASDH	0.0061	0.26	532.4
AASDHPPT	0.001	0.39	3646
ABCA2	-0.0025	0.41	164.1
ABCA3	-0.002	0.25	191.5
ABCA7	-0.0032	0.17	521.5
ABCB1	-0.0029	0.08	185.7
ABCB10	-0.0028	0.2	1242.2
ABCB7	0.0008	0.08	770.4
ABCC1	0.0009	0.11	1479.4
ABCC10	-0.0009	0.08	515
ABCC3	-0.0031	0.21	229.7
ABCC4	-0.0005	0.1	463.6
ABCC5	-0.001	0.06	333.1
ABCD1	-0.0054	0.37	442.5
ABCD3	-0.0039	0.02	4152.8
ABCD4	-0.0014	0.4	266.3
ABCE1	-0.0003	0.04	6257.5
ABCF1	-0.0009	0.03	3689.6
ABCF2	-0.0001	0.09	1440.5
ABCF3	0.0004	0.19	487.7
ABCG1	-0.0023	0.17	420.3
ABCG2	-0.0006	0.1	347.3
ABHD10	0.0016	0.07	1972.8
ABHD11	0.0002	0.22	254.3
ABHD12	-0.0032	0.12	552.5
ABHD14A	-0.0017	0.1	891.2
ABHD15	0.003	0.25	351.8
ABHD2	-0.0035	0.19	239.9
ABHD4	-0.0022	0.04	261
ABHD5	0.0011	0.11	2049.9
ABHD6	0.0048	0.02	469.7
ABI2	0.0002	0.05	801.1
ABL1	0.0062	0.34	2164.8
ABL2	0.0114	0.11	538.2
ABLIM1	0	0.11	3356.2
ABR	0.0001	0.17	403.1
ABT1	0.0092	0.11	1282.2
ABTB1	-0.0013	0.24	270.1
AC004053.1	-0.0028	0.2	258.8
AC004381.2	0.0003	0.06	606.1
AC005035.1	-0.0011	0.12	1072.9
AC005262.1	0.0001	0.19	751.1
AC005277.1	-0.0006	0.24	497.8
AC005393.1	-0.001	0.06	13503.5
AC005921.3	-0.0024	0.04	4101.6
AC006978.2	0.0005	0.31	311.6
AC007255.2	-0.0021	0.09	133.9
AC007390.3	-0.0014	0.14	650.1
AC008073.1	0.001	0.18	8478.3
AC008074.2	0.004	0.1	298.7
AC008532.1	-0.0031	0.48	219.2
AC009086.2	-0.0029	0.37	137.6
AC009171.1	0.0006	0.25	586
AC010087.3	0.0037	0.12	529.6
AC010441.2	0.0012	0.34	263.4
AC010442.2	0.0092	0.26	1267.6
AC010531.3	-0.0011	0.34	128.4
AC010536.2	-0.001	0.06	141.2
AC010896.1	0.0035	0.15	1145.9
AC011242.1	0.0075	0.45	399.1
AC011322.3	0.0083	0.13	995.5
AC011346.1	0.0007	0.09	446.5
AC011471.1	-0.0009	0.02	1520.2
AC011498.3	-0.0027	0.18	304
AC012100.1	-0.0003	0.34	1575.9
AC012621.2	0.0004	0.24	579.1
AC012652.1	-0.0047	0.12	1797.6
AC013403.3	-0.0012	0.1	7823
AC015813.1	-0.0053	0.26	494.5
AC015976.1	0.0006	0.25	182.6
AC016629.3	0.0005	0.05	591.4
AC018635.2	0.0007	0.2	531.1
AC018755.7	0.0002	0.31	130.1
AC020663.1	-0.0014	0.21	483.7
AC021054.1	0.0019	0.21	199.5
AC022400.1	0.0034	0.31	618.5
AC023024.1	0.0009	0.12	5689
AC024270.1	-0.0023	0.02	764.1
AC025171.1	0.0047	0.26	416.9
AC025257.1	0.007	0.1	1657.8
AC025647.1	-0.0029	0.41	4222.1
AC026412.2	-0.003	0.09	1567.3
AC026691.1	0.0002	0.47	162.4
AC027612.8	0.0008	0.26	102.7
AC034193.4	-0.0043	0.31	344
AC051642.1	0.0047	0.39	738.1
AC063977.1	-0.0007	0.35	234.6
AC068353.1	0.0079	0.48	239.4
AC068989.2	-0.0048	0.27	141.7
AC069234.1	0.0014	0.02	370.4
AC079953.2	0.003	0.17	217
AC084018.1	-0.0015	0.16	119.8
AC087698.1	0.0005	0.24	155.5
AC087742.2	0.0011	0.06	3291.1
AC090186.1	-0.0006	0.06	140.8
AC090360.1	-0.0029	0.49	245.2
AC091196.1	0.0017	0.07	304.3
AC091736.4	-0.0001	0.19	1962.3
AC092338.1	-0.0026	0.25	118.4
AC092436.3	-0.0009	0.02	1854.5
AC092490.2	0	0.06	827
AC093283.3	0.0042	0.14	139.5
AC097382.4	0.0129	0.28	651.8
AC099524.1	0.0025	0.4	356.6
AC103681.1	-0.0004	0.14	545.1
AC103810.5	-0.0023	0.08	679.9
AC104117.1	0.0065	0.3	149.2
AC106037.2	0	0.15	8761.2
AC106722.1	0.0022	0.22	669.9
AC107883.1	0.0047	0.1	245.2
AC110615.2	-0.0026	0.34	156.9
AC114744.1	0.0025	0.1	732.8
AC124798.1	0.0042	0.29	948.5
AC125232.1	0.0032	0.24	793.7
AC126614.1	-0.0006	0.28	1808.1
AC127496.3	0.0008	0.32	140.6
AC131238.1	-0.0026	0.16	340.9
AC132192.1	0.0091	0.36	465.9
AC133961.1	-0.0022	0.04	1930.8
AC139768.2	0.0026	0.27	842.8
AC145098.2	-0.002	0.18	175.7
AC145146.3	-0.0013	0.35	130.2
ACAA1	-0.0011	0.05	1101.7
ACACA	0.0001	0.12	560.4
ACACB	0.0006	0.18	121.5
ACAD8	0.0004	0.31	935.2
ACAD9	0	0.08	1794.8
ACADL	-0.002	0.16	194.6
ACADSB	-0.0008	0.4	146.1
ACADVL	-0.0023	0.04	3687.2
ACAP2	-0.002	0.33	311.8
ACAP3	-0.0011	0.2	186.9
ACAT1	-0.0021	0.1	1543.3
ACAT2	0.0012	0.07	4040.5
ACBD3	0.0036	0.07	1386.2
ACBD5	-0.0019	0.25	1266.5
ACBD6	-0.0001	0.03	668.8
ACD	-0.0006	0.15	1498.9
ACER3	-0.002	0.07	548.4
ACIN1	0.0019	0.14	602
ACLY	-0.0009	0.03	3811.5
ACO1	-0.004	0.06	805.1
ACO2	-0.0031	0.36	1576.9
ACOT13	-0.0009	0.21	4237.9
ACOT4	0.0037	0.08	1249.4
ACOT7	-0.0003	0.1	1694.7
ACOT8	0.0004	0.09	432.7
ACOT9	-0.0003	0.15	2035.3
ACOX1	-0.0002	0.1	601.1
ACOX3	-0.0024	0.13	140.5
ACP1	-0.0001	0.02	6036.7
ACP2	-0.0008	0.21	2652.2
ACP6	-0.0001	0.06	801.6
ACPL2	0.0018	0.49	469.6
ACRC	0.008	0.34	231.9
ACSL1	-0.0043	0.1	267.1
ACSL3	-0.0009	0.05	2889.9
ACSS2	-0.0002	0.43	246.4
ACTB	-0.0014	0.44	28347.7
ACTC1	0.0028	0.29	1554.6
ACTG1	-0.001	0.31	25212.4
ACTN1	-0.0004	0.05	5245.3
ACTN4	-0.0026	0.16	6836
ACTR10	-0.0017	0.04	3550.2
ACTR1A	-0.0002	0.05	2408.8
ACTR1B	-0.0006	0.5	488.4
ACTR2	-0.0029	0.18	4382.2
ACTR3	-0.0019	0.02	5457.1
ACTR3B	-0.0026	0.31	259.4
ACTR5	0.0023	0.1	343.8
ACTR6	-0.0037	0.26	1772.6
ACTR8	0.0015	0.05	780.1
ACVR1B	0.0051	0.28	123.6
ACVR2A	0.0069	0.19	278.9
ACYP2	-0.0022	0.19	1049.9
ADA	-0.0009	0.16	962.2
ADAL	0.0009	0.05	306.4
ADAM10	-0.0009	0.03	1283.4
ADAM12	-0.0021	0.05	746.4
ADAM15	-0.0013	0.32	678.5
ADAM17	-0.0023	0.15	1039.6
ADAMTS5	0.0064	0.24	138.7
ADAR	0.0001	0.11	5029.8
ADARB1	-0.0012	0.05	339.9
ADAT2	0.0009	0.49	288.7
ADCK1	-0.0011	0.25	257.8
ADCK2	-0.0017	0.2	192.1
ADCY3	-0.0004	0.07	643.1
ADCY6	0.0018	0.39	193.6
ADCY9	0.0006	0.12	474.4
ADD1	-0.0006	0.03	1420
ADD3	-0.0022	0.02	2953
ADFP	0.0022	0.18	1197.2
ADH5	-0.001	0.04	3357.6
ADI1	-0.0007	0.15	5525.3
ADIPOR1	-0.001	0.06	2105.7
ADIPOR2	0.0026	0.16	3352
ADK	-0.0014	0.07	4259.8
ADNP	0.0083	0.09	1780
ADNP2	0.0034	0.07	1077.6
ADO	0.0086	0.17	1133.7
ADORA2B	0.0078	0.24	1179.7
